block_size,ops_sec,throughput_gbps,avg_lat_ms,p99_lat_ms,mem_used_gb
512B,16272989.94,8.42,39.895,261.11900,6.95
1KB,13226317.71,13.16,47.107,252.92700,12.91
2KB,9059467.32,17.66,68.574,296.95900,24.83
8KB,4060845.68,31.15,152.719,407.55100,96.36
16KB,2405050.50,36.80,257.132,573.43900,125.75
32KB,1056232.14,32.27,584.726,1236.99100,125.55
64KB,544270.00,33.24,1123.324,2850.81500,125.45
128KB,254781.54,31.11,2445.931,7077.88700,125.40
512KB,56912.03,27.79,11559.036,31588.35100,125.35
1MB,24315.45,23.74,29899.182,50593.79100,125.35
2MB,14839.83,28.98,65477.497,94371.83900,125.31
